时间,交易类型,交易对,方向,价格,数量,成交额,手续费
2021-1-31 22:35,币币交易,HT/USDT,卖出,6.9,7.42,51.198,0.10239600USDT
2021-1-31 18:50,币币交易,HT/USDT,卖出,6.53,40,261.2,0.52240000USDT
2021-1-31 15:34,币币交易,XRP/USDT,卖出,0.453,1000,453,0.90600000USDT
2021-1-30 23:58,币币交易,ALGO/USDT,卖出,0.695,285.13,198.16535,0.39633070USDT
2021-1-30 23:58,币币交易,ALGO/USDT,卖出,0.695,31.79,22.09405,0.04418810USDT
2021-1-30 23:58,币币交易,ALGO/USDT,卖出,0.695,683.08,474.7406,0.94948120USDT
2021-1-22 8:13,币币交易,ALGO/USDT,买入,0.4525,150,67.875,0.30000000ALGO
2021-1-21 21:18,币币交易,ALGO/USDT,买入,0.4985,500,249.25,1.00000000ALGO
2021-1-19 9:37,币币交易,ALGO/USDT,买入,0.5533,1000,553.3,2.00000000ALGO
2021-1-19 8:46,币币交易,HT/USDT,卖出,5.97,50,298.5,0.59700000USDT
2021-1-18 8:47,币币交易,ALGO/USDT,卖出,0.5941,683.87,406.287167,0.81257433USDT
2021-1-18 8:47,币币交易,ALGO/USDT,卖出,0.5941,302.03,179.436023,0.35887204USDT
2021-1-18 8:46,币币交易,ALGO/USDT,卖出,0.5941,14.1,8.37681,0.01675362USDT
2021-1-12 0:00,币币交易,LTC/USDT,买入,123,10,1230,0.02000000LTC
2021-1-11 2:33,币币交易,DF/USDT,买入,0.135,175.02,23.6277,0.35004000DF
2021-1-11 2:32,币币交易,DF/USDT,买入,0.135,124.52,16.8102,0.24904000DF
2021-1-11 2:32,币币交易,DF/USDT,买入,0.135,700.46,94.5621,1.40092000DF
2021-1-10 17:35,币币交易,HT/USDT,卖出,5.307,100,530.7,1.06140000USDT
2021-1-9 23:55,币币交易,DF/USDT,买入,0.1438,2000,287.6,4.00000000DF
2021-1-9 23:36,币币交易,BSV/USDT,卖出,237.85,0.9565,227.50671,0.45501342USDT
2021-1-9 23:36,币币交易,BSV/USDT,卖出,237.85,0.241,57.34244999,0.11468490USDT
2020-12-2 17:48,币币交易,LTC/USDT,买入,87.6,10,876,0.02000000LTC
2020-11-25 21:58,币币交易,FIL/USDT,卖出,33.1,50,1655,3.31000000USDT
2020-10-28 20:00,币币交易,SEELE/USDT,买入,0.0171,50000,855,100.00000000SEELE
2020-10-25 8:40,币币交易,FIL/USDT,买入,25.5,1.1807,30.10785,0.00236140FIL
2020-10-25 8:40,币币交易,FIL/USDT,买入,25.5,16.85,429.675,0.03370000FIL
2020-10-25 8:40,币币交易,FIL/USDT,买入,25.5,13.75,350.625,0.02750000FIL
2020-10-25 8:40,币币交易,FIL/USDT,买入,25.5,8.533,217.5915,0.01706600FIL
2020-10-25 8:40,币币交易,FIL/USDT,买入,25.5,4.59,117.045,0.00918000FIL
2020-10-25 8:40,币币交易,FIL/USDT,买入,25.5,5.02,128.01,0.01004000FIL
2020-10-25 8:40,币币交易,FIL/USDT,买入,25.5,5.13,130.815,0.01026000FIL
2020-10-25 8:40,币币交易,FIL/USDT,买入,25.5,5.085,129.6675,0.01017000FIL
2020-10-25 8:40,币币交易,FIL/USDT,买入,25.5,17.41,443.955,0.03482000FIL
2020-10-25 8:40,币币交易,FIL/USDT,买入,25.5,16.16,412.08,0.03232000FIL
2020-10-25 8:40,币币交易,FIL/USDT,买入,25.5,3.69,94.095,0.00738000FIL
2020-10-25 8:40,币币交易,FIL/USDT,买入,25.5,2.6013,66.33315,0.00520260FIL
2020-10-24 0:03,币币交易,SEELE/USDT,卖出,0.022443,71963.22,1615.070546,3.23014109USDT
2020-10-24 0:03,币币交易,SEELE/USDT,卖出,0.022441,75446.8,1693.101639,3.38620327USDT
2020-10-24 0:03,币币交易,SEELE/USDT,卖出,0.02244,76393.13,1714.261837,3.42852367USDT
2020-10-24 0:03,币币交易,SEELE/USDT,卖出,0.022445,1728.43,38.79461135,0.07758922USDT
2020-10-24 0:03,币币交易,SEELE/USDT,卖出,0.022445,1862.08,41.7943856,0.08358877USDT
2020-10-24 0:03,币币交易,SEELE/USDT,卖出,0.022445,1746.34,39.1966013,0.07839320USDT
2020-10-22 0:47,币币交易,HT/USDT,买入,4.5,100,450,0.20000000HT
2020-10-15 16:02,币币交易,SEELE/USDT,买入,0.0113,50000,565,100.00000000SEELE
2020-10-15 15:11,币币交易,SEELE/USDT,买入,0.012,50000,600,100.00000000SEELE
2020-10-13 20:42,币币交易,SEELE/USDT,买入,0.015,8723.07,130.84605,17.44614000SEELE
2020-10-13 20:42,币币交易,SEELE/USDT,买入,0.015,41276.93,619.15395,82.55386000SEELE
2020-10-13 20:40,币币交易,SEELE/USDT,买入,0.01541,50000,770.5,100.00000000SEELE
2020-10-13 16:54,币币交易,SEELE/USDT,买入,0.014795,15000,221.925,30.00000000SEELE
2020-10-13 16:13,币币交易,SEELE/USDT,买入,0.02,50000,1000,100.00000000SEELE
2020-10-13 16:10,币币交易,SEELE/USDT,买入,0.026,7998.71,207.96646,15.99742000SEELE
2020-10-13 16:10,币币交易,SEELE/USDT,买入,0.026,41580.37,1081.08962,83.16074000SEELE
2020-10-13 16:10,币币交易,SEELE/USDT,买入,0.026,420.92,10.94392,0.84184000SEELE
2020-10-13 16:08,币币交易,SEELE/USDT,买入,0.027101,100000,2710.1,200.00000000SEELE
2020-10-12 23:02,币币交易,SEELE/USDT,买入,0.0163,10000,163,20.00000000SEELE
2020-10-12 23:02,币币交易,SEELE/USDT,买入,0.0163,5000,81.5,10.00000000SEELE
2020-10-8 17:23,币币交易,HT/USDT,卖出,4.5416,19.75,89.6966,0.17939320USDT
2020-10-8 17:23,币币交易,HT/USDT,卖出,4.5416,2294.83,10422.19993,20.84439985USDT
2020-10-8 17:21,币币交易,HT/USDT,卖出,4.5416,5.87,26.659192,0.05331838USDT
2020-10-8 17:21,币币交易,HT/USDT,卖出,4.5416,13.86,62.946576,0.12589315USDT
2020-10-8 17:21,币币交易,HT/USDT,卖出,4.5416,1.21,5.495336,0.01099067USDT
2020-10-8 17:21,币币交易,HT/USDT,卖出,4.5416,1.7,7.72072,0.01544144USDT
2020-10-8 17:21,币币交易,HT/USDT,卖出,4.5416,1.25,5.677,0.01135400USDT
2020-10-8 17:21,币币交易,HT/USDT,卖出,4.5416,234.61,1065.504776,2.13100955USDT
2020-10-8 17:21,币币交易,HT/USDT,卖出,4.5416,14.69,66.716104,0.13343220USDT
2020-10-8 17:21,币币交易,HT/USDT,卖出,4.5416,8.37,38.013192,0.07602638USDT
2020-10-8 17:21,币币交易,HT/USDT,卖出,4.5416,12.6,57.22416,0.11444832USDT
2020-10-8 17:21,币币交易,HT/USDT,卖出,4.5416,11.26,51.138416,0.10227683USDT
2020-10-8 16:56,币币交易,SEELE/USDT,卖出,0.006424,39920,256.44608,0.51289216USDT
